## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\10202017_pilot3-[3204a394-098f-4bc4-880f-f2fb6399d314]\10202017_pilot3-eye_data.idf
## Date:	20.10.2017 11:45:57
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2369                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	10202017_pilot3                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5848450859	SMP	1	1597.44	324.84	1354.58	291.93	16.05	16.05	4.03	16.15	16.15	3.98	1593.06	327.75	1598.68	327.32	1352.43	294.72	1358.25	294.54	0.00	0.00	1036.87	455.25	0	1	1	2	-1	-1	-61.78	105.76	772.05	-2.90	113.94	772.90	0.00	0.00	-1.00	0.04	-0.01	-1.00	0	 -1	
5848484191	SMP	1	1600.97	323.49	1357.93	289.15	16.16	16.16	3.99	15.78	15.78	3.93	1596.52	326.11	1602.26	326.07	1355.79	292.04	1361.44	292.31	0.00	0.00	1035.95	431.78	0	1	1	2	-1	-1	-62.49	105.87	770.22	-3.71	114.78	774.48	0.00	-0.01	-1.00	0.04	0.00	-1.00	0	 -1	
5848517567	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
5848550893	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
5848584183	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
5848617504	SMP	1	0.00	0.00	1356.95	282.59	0.00	0.00	0.00	16.09	16.09	3.90	0.00	0.00	0.00	0.00	1355.25	286.26	1360.89	286.06	0.00	0.00	1073.22	394.72	0	0	1	1	-1	-1	0.00	0.00	0.00	-3.57	116.13	773.64	0.00	0.00	0.00	0.06	0.03	-1.00	0	 -1	
5848650837	SMP	1	1597.71	318.52	1353.73	282.70	16.10	16.10	3.95	15.17	15.17	3.84	1593.25	322.92	1598.94	323.01	1352.51	286.57	1358.15	286.25	0.00	0.00	1201.68	377.05	0	1	1	2	-1	-1	-61.68	106.61	770.05	-2.90	115.93	772.73	0.00	0.08	-1.00	0.08	0.04	-1.00	0	 -1	
5848684173	SMP	1	1593.32	319.43	1350.28	282.35	16.12	16.12	3.92	15.20	15.20	3.79	1589.30	322.96	1595.09	323.03	1348.83	286.30	1354.43	286.19	0.00	0.00	1158.14	345.11	0	1	1	2	-1	-1	-60.58	106.35	768.25	-1.99	115.95	772.54	0.02	0.04	-1.00	0.07	0.05	-1.00	0	 -1	
5848717503	SMP	1	1587.97	318.73	1344.98	281.02	16.42	16.42	3.90	14.75	14.75	3.73	1584.15	321.92	1589.79	321.89	1343.81	284.97	1349.43	284.95	0.00	0.00	1211.68	329.40	0	1	1	2	-1	-1	-59.38	106.75	769.21	-0.76	116.12	771.59	0.03	0.02	-1.00	0.08	0.05	-1.00	0	 -1	
5848750911	SMP	1	1582.03	315.58	1339.45	278.40	15.84	15.84	3.87	15.26	15.26	3.70	1578.11	319.17	1583.75	319.23	1338.11	282.17	1343.68	282.10	0.00	0.00	1195.96	343.15	0	1	1	2	-1	-1	-57.91	107.40	769.17	0.64	116.82	771.69	0.02	0.04	-1.00	0.07	0.04	-1.00	0	 -1	
